date,survey,suvrey_ID,method,depth,soak time (hours),Time_Day,reef aspect ,habitat,family,genus,species,number,time in,time out
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.28125,0.302083333
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.2625,0.267361111
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.272916667,0.278472222
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-Nat,DOV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.753472222,0.772222222
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-Red,ROV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,2,0.731944444,0.7375
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-White,ROV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.742361111,0.748611111
5/20/2023,MR_23,May_23-MR-D1-PM-T1-Nat,DOV,15,,PM,gentle_slope,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.6875,0.725694444
5/20/2023,MR_23,May_23-MR-D1-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.654166667,0.659722222
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.298611111,0.305555556
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.259722222,0.273611111
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.28125,0.290972222
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-Nat,DOV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,1,0.753472222,0.772222222
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-Red,ROV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus spp.,1,0.714583333,0.720138889
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-White,ROV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.725694444,0.732638889
5/21/2023,MR_23,May_23-MR-D2-PM-T1-Nat,DOV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.653472222,0.661111111
5/21/2023,MR_23,May_23-MR-D2-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.642361111,0.649305556
