Trip,location,date,method,set,start time,end time,total time,time.hrs,catch 
5,dumping zone,22/2/2024,dropline,5,12:50,17:29,4:39,4.65,0
5,dumping zone,22/2/2024,dropline,3,15:26,17:32,2:06,2.10,1
5,dumping zone,22/2/2024,dropline,6,15:28,16:55,1:27,1.45,1
5,dumping zone,22/2/2024,dropline,8,15:30,17:24,1:54,1.90,0
5,dumping zone,22/2/2024,dropline,10,14:10,16:40,2:30,2.50,2
5,dumping zone,22/2/2024,dropline,7,15:25,17:34,2:09,2.15,0
5,dumping zone,23/2/2024,dropline,10,6:24,17:27,11:03,11.05,0
5,dumping zone,23/2/2024,dropline,8,6:26,10:20,3:54,3.90,1
5,dumping zone,23/2/2024,dropline,9,6:29,17:32,11:03,11.05,1
5,dumping zone,23/2/2024,dropline,1,6:33,15:34,9:01,9.02,1
5,dumping zone,23/2/2024,dropline,5,6:36,17:19,10:43,10.71,0
5,dumping zone,23/2/2024,dropline,2,6:37,17:21,10:44,10.73,1
5,dumping zone,23/2/2024,dropline,4,6:39,17:30,10:51,10.85,0
5,dumping zone,23/2/2024,dropline,7,6:42,17:25,10:43,10.71,0
5,dumping zone,23/2/2024,dropline,3,6:45,17:24,10:39,10.65,0
5,dumping zone,23/2/2024,dropline,6,6:47,12:50,6:03,6.05,1
5,dumping zone,23/2/2024,dropline,8,10:28,17:23,6:55,6.91,0
5,dumping zone,24/2/2024,dropline,10,6:03,7:21,1:18,1.30,0
5,dumping zone,24/2/2024,dropline,4,6:05,17:15,11:10,11.17,0
5,dumping zone,24/2/2024,dropline,9,6:07,17:10,11:03,11.05,1
5,dumping zone,24/2/2024,dropline,1,6:09,17:17,11:08,11.13,0
5,dumping zone,24/2/2024,dropline,5,6:12,17:19,11:07,12.12,0
5,dumping zone,24/2/2024,dropline,8,6:13,17:23,11:10,11.17,1
5,dumping zone,24/2/2024,dropline,2,6:17,17:26,11:09,11.15,0
5,dumping zone,24/2/2024,dropline,3,6:18,17:28,11:10,11.17,1
5,dumping zone,24/2/2024,dropline,7,6:20,17:15,10:55,10.92,0
5,dumping zone,24/2/2024,dropline,10,8:05,17:30,9:25,9.42,1
5,dumping zone,25/2/2024,dropline,9,6:50,17:30,10:40,10.67,0
5,dumping zone,25/2/2024,dropline,5,6:56,17:28,10:32,10.53,0
5,dumping zone,25/2/2024,dropline,1,7:10,17:31,10:21,10.35,0
