Date,Set_Survey,Method,Species ,Common name,Number
22/2/2024,NWI_trip5_backdeck,dropline,Carcharhinus amblyrhynchos,Grey reef shark,1
22/2/2024,NWI_trip5_10,dropline,Carcharhinus amblyrhynchos,Grey reef shark,1
22/2/2024,NWI_trip5_10,dropline,Galeocerdo cuvier,Tiger shark,1
22/2/2024,NWI_trip5_6,dropline,Galeocerdo cuvier,Tiger shark,1
23/2/2024,NWI_trip5_2,dropline,Carcharhinus amboinensis,Pigeye shark,1
23/2/2024,NWI_trip5_8,dropline,Carcharhinus amblyrhynchos,Grey reef shark,1
23/2/2024,NWI_trip5_ukn,dropline,Galeocerdo cuvier,Tiger shark,1
23/2/2024,NWI_trip5_ukn,dropline,Galeocerdo cuvier,Tiger shark,1
23/2/2024,NWI_trip5_6,dropline,Sphyrna mokarran,Great hammerhead shark,1
24/2/2024,NWI_trip5_10,dropline,Sphyrna mokarran,Great hammerhead shark,1
24/2/2024,NWI_trip5_8,dropline,Carcharhinus amboinensis,Pigeye shark,1
24/2/2024,NWI_trip5_3,dropline,Galeocerdo cuvier,Tiger shark,1
24/2/2024,NWI_trip5_9,dropline,Negaprion brevirostris,Lemon shark,1
25/2/2024,NWI_trip5_10,dropline,Rhynchobatus australiae,Whitespotted wedgefish,1
25/2/2024,NWI_trip5_4,dropline,Carcharhinus melanopterus,Blacktip reef shark,1
25/2/2024,NWI_trip5_7,dropline,Galeocerdo cuvier,Tiger shark,1
26/2/2024,NWI_trip5_7,dropline,Sphyrna mokarran,Great hammerhead shark,1
26/2/2024,NWI_trip5_ukn,dropline,Carcharhinus leucas,Bull shark,1
26/2/2024,NWI_trip5_ukn,dropline,Carcharhinus melanopterus,Blacktip reef shark,1
22/2/2024,Feb_24-NWI-D1-PM-T1,ROV sightings,Taeniura lymma,bluespotted stingray,1
22/2/2024,Feb_24-NWI-D1-PM-T2,ROV sightings,Taeniura lymma,bluespotted stingray,1
23/2/2024,Feb_24-NWI-D2-PM-T1,ROV sightings,Taeniura lymma,bluespotted stingray,1
23/2/2024,Feb_24-NWI-D2-PM-T1,ROV sightings,Himantura spp.,Whipray species,1
24/2/2024,Feb_24-NWI-D3-PM-1,ROV sightings,Pastinachus sephen,Cowtail stingray,1
24/2/2024,Feb_24-NWI-D3-PM-1,ROV sightings,Aetobatus occelatus,Spotted eagle ray,1
24/2/2024,Feb_24-NWI-D3-PM-1,ROV sightings,Aetobatus occelatus,Spotted eagle ray,3
25/2/2024,Feb_24-NWI-D4-AM-1,ROV sightings,Triaenodon obesus,Whitetip reef shark,1
25/2/2024,Feb_24-NWI-D4-AM-1,ROV sightings,Triaenodon obesus,Whitetip reef shark,1
25/2/2024,Feb_24-NWI-D4-AM-1,ROV sightings,Carcharhinus amblyrhynchos,Grey reef shark,1
25/2/2024,Feb_24-NWI-D4-AM-2,ROV sightings,Triaenodon obesus,Whitetip reef shark,1
25/2/2024,Feb_24-NWI-D4-PM-1,ROV sightings,Carcharhinus leucas,Bull shark,1
25/2/2024,Feb_24-NWI-D4-PM-1,ROV sightings,Rhynchobatus australiae,Whitespotted wedgefish,1
25/2/2024,Feb_24-NWI-D4-PM-1,ROV sightings,Sphyrna mokarran,Great hammerhead shark,1
25/2/2024,Feb_24-NWI-D4-PM-2,ROV sightings,Triaenodon obesus,Whitetip reef shark,1
