date,survey,suvrey_ID,method,depth,soak time (hours),Time_Day,reef aspect ,habitat,family,genus,species,number,time in,time out,treatment,camera
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.28125,0.302083333,Nat,NA
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.2625,0.267361111,Red,NA
5/20/2023,MR_23,May_23-MR-D1-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.272916667,0.278472222,White,NA
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-Nat,DOV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.753472222,0.772222222,Nat,NA
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-Red,ROV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,2,0.731944444,0.7375,Red,Left
5/20/2023,MR_23,May_23-MR-D1-DUSK-T1-White,ROV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.742361111,0.748611111,White,NA
5/20/2023,MR_23,May_23-MR-D1-PM-T1-Nat,DOV,15,,PM,gentle_slope,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.6875,0.725694444,Nat,Left
5/20/2023,MR_23,May_23-MR-D1-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.654166667,0.659722222,Nat,NA
5/20/2023,MR_23,May_23-MR-D1-NOC1-T1-Red,ROV,15,,NOC1,gentle_slope,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.915277778,0.920833333,Red,Pilot
5/20/2023,MR_23,May_23-MR-D1-NOC1-T1-White,ROV,15,,NOC1,gentle_slope,lagoon,NA,NA,NA,0,0.98125,0.9875,White,NA
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.298611111,0.305555556,Nat,NA
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.259722222,0.273611111,Red,NA
5/21/2023,MR_23,May_23-MR-D2-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.28125,0.290972222,White,NA
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-Nat,DOV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus amblyrhynchos,1,0.753472222,0.772222222,Nat,Left
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-Red,ROV,15,,DUSK,gentle_slope,lagoon,Carcharhinidae,Carcharhinus,Carcharhinus spp.,1,0.714583333,0.720138889,Red,Right
5/21/2023,MR_23,May_23-MR-D2-DUSK-T1-White,ROV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.725694444,0.732638889,White,NA
5/21/2023,MR_23,May_23-MR-D2-PM-T1-Nat,DOV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.653472222,0.661111111,Nat,NA
5/21/2023,MR_23,May_23-MR-D2-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.642361111,0.649305556,Nat,NA
5/21/2023,MR_23,May_23-MR-D2-NOC1-T1-Red ,ROV,15,,NOC1,gentle_slope,lagoon,NA,NA,NA,0,0.90625,0.9125,Red,NA
5/21/2023,MR_23,May_23-MR-D2-NOC1-T1-White,ROV,15,,NOC1,gentle_slope,lagoon,NA,NA,NA,0,0.91875,0.925,White,NA
5/22/2023,MR_23,May_23-MR-D2-NOC2-T1-Red ,ROV,15,,NOC2,gentle_slope,lagoon,NA,NA,NA,0,0.161805556,0.166666667,Red,NA
5/22/2023,MR_23,May_23-MR-D2-NOC2-T1-White,ROV,15,,NOC2,gentle_slope,lagoon,NA,NA,NA,0,0.18125,0.186111111,White,NA
5/22/2023,MR_23,May_23-MR-D3-DAWN-T1-Nat,DOV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.268055556,0.273611111,Nat,NA
5/22/2023,MR_23,May_23-MR-D3-DAWN-T1-Red,ROV,15,,DAWN,gentle_slope,lagoon,NA,NA,NA,0,0.25,0.254166667,Red,NA
5/22/2023,MR_23,May_23-MR-D3-DAWN-T1-White,ROV,15,,DAWN,gentle_slope,lagoon,Carcharhinidae,Triaenodon,Triaenodon obesus,1,0.259722222,0.263888889,White,Front
5/22/2023,MR_23,May_23-MR-D3-DUSK-T1-Nat,DOV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.739583333,0.745833333,Nat,NA
5/22/2023,MR_23,May_23-MR-D3-DUSK-T1-Red,ROV,15,,DUSK,gentle_slope,lagoon,Rhinobatidae,Rhina,Rhina ancylostoma,1,0.719444444,0.725,Red,Back
5/22/2023,MR_23,May_23-MR-D3-DUSK-T1-White,ROV,15,,DUSK,gentle_slope,lagoon,NA,NA,NA,0,0.729166667,0.734722222,White,NA
5/22/2023,MR_23,May_23-MR-D3-PM-T1-Nat,DOV,15,,PM,gentle_slope,lagoon,NA,NA,NA,0,0.649305556,0.654861111,Nat,NA
5/22/2023,MR_23,May_23-MR-D3-PM-T1-Nat,ROV,15,,PM,gentle_slope,lagoon, Carcharhinidae ,Carcharhinus,Carcharhinus spp.,1,0.638194444,0.650694444,Nat,Front
5/22/2023,MR_23,May_23-MR-D3-NOC1-T1-Red,ROV,15,,NOC1,gentle_slope,lagoon,NA,NA,NA,0,0.969444444,0.975,Red,NA
5/22/2023,MR_23,May_23-MR-D3-NOC1-T1-White,ROV,15,,NOC1,gentle_slope,lagoon,NA,NA,NA,0,0.980555556,0.986111111,White,NA
