Survey,Date,Reef,Method,Drop/Transect,Depth,Habitat,Species,MaxN,T_ID,Soak time
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Balistoides viridescens,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Carangoides ferdau,2,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Scomberoides lysan,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Carcharhinus amblyrhynchos,,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Chaetodon auriga,2,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Neotrygon kuhlii,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Cheilinus undulatus,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Lethrinus nebulosus,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Lutjanus bohar,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Plectropomus leopardus,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D1,38,lagoon,Sphyraena barracuda,1,Oct_21_44501_Ashmore_BRUV_D1,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Carangoides fulvoguttatus,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Caranx ignobilis,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Gnathanodon speciosus,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Carcharhinus albimarginatus,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Carcharhinus amblyrhynchos,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D3,42,lagoon,Gymnocranius euanus,1,Oct_21_44501_Ashmore_BRUV_D3,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Pseudobalistes flavimarginatus,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Carcharhinus amblyrhynchos,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Chaetodon kleinii,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Cheilinus undulatus,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Lethrinus semicinctus,5,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Lutjanus rivulatus,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Parupeneus heptacanthus,4,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Parupeneus pleurostigma,4,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Chrysiptera flavipinnis,1,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Pomacentrus amboinensis,3,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
Oct_21,1/11/2021,Ashmore,BRUV,D4,28,lagoon,Pomacentrus nagasakiensis,2,Oct_21_44501_Ashmore_BRUV_D4,1:00:00
